Gm,Tm,H_A,Opp,Result,R,RA,Inn,GB,D/N,Orig_Scheduled,Year,home_team,away_team,home_score,away_score,month,day,date
1,LAA,A,SEA,L,1,4,NA,1.0,D,NA,2015,SEA,LAA,4,1,4,6,2015-04-06
2,LAA,A,SEA,W,2,0,NA,0.5,N,NA,2015,SEA,LAA,0,2,4,7,2015-04-07
3,LAA,A,SEA,W,5,3,NA,Tied,N,NA,2015,SEA,LAA,3,5,4,8,2015-04-08
4,LAA,H,KCR,L,2,4,NA,0.5,N,NA,2015,LAA,KCR,2,4,4,10,2015-04-10
5,LAA,H,KCR,L,4,6,NA,0.5,N,NA,2015,LAA,KCR,4,6,4,11,2015-04-11
6,LAA,H,KCR,L,2,9,NA,1.0,D,NA,2015,LAA,KCR,2,9,4,12,2015-04-12
7,LAA,A,TEX,W,6,3,NA,0.5,N,NA,2015,TEX,LAA,3,6,4,13,2015-04-13
8,LAA,A,TEX,L,2,8,NA,1.5,N,NA,2015,TEX,LAA,8,2,4,14,2015-04-14
9,LAA,A,TEX,W,10,2,NA,0.5,D,NA,2015,TEX,LAA,2,10,4,15,2015-04-15
10,LAA,A,HOU,W,6,3,NA,up 0.5,N,NA,2015,HOU,LAA,3,6,4,17,2015-04-17
11,LAA,A,HOU,L,0,4,NA,0.5,N,NA,2015,HOU,LAA,4,0,4,18,2015-04-18
12,LAA,A,HOU,L,3,4,NA,1.0,D,NA,2015,HOU,LAA,4,3,4,19,2015-04-19
13,LAA,H,OAK,L,3,6,NA,2.0,N,NA,2015,LAA,OAK,3,6,4,20,2015-04-20
14,LAA,H,OAK,W,14,1,NA,2.0,N,NA,2015,LAA,OAK,14,1,4,21,2015-04-21
15,LAA,H,OAK,L,2,9,NA,2.0,N,NA,2015,LAA,OAK,2,9,4,22,2015-04-22
16,LAA,H,OAK,W,2,0,NA,1.5,D,NA,2015,LAA,OAK,2,0,4,23,2015-04-23
17,LAA,H,TEX,W,3,2,NA,1.5,N,NA,2015,LAA,TEX,3,2,4,24,2015-04-24
18,LAA,H,TEX,W,4,1,NA,1.5,N,NA,2015,LAA,TEX,4,1,4,25,2015-04-25
19,LAA,H,TEX,L,4,5,11,2.5,D,NA,2015,LAA,TEX,4,5,4,26,2015-04-26
20,LAA,A,OAK,L,2,6,NA,4.0,N,NA,2015,OAK,LAA,6,2,4,28,2015-04-28
