key_mlbam,key_fangraphs,name
594987,11209,Casey Sadler
570666,13345,Luis Cessa
642239,15094,Rob Zastryzny
285064,1011,Ryan Vogelsong
664180,18076,Matt Hall
644428,15570,Troy Scribner
596001,13619,Jakob Junis
657248,21366,Glenn Otto
445926,5448,Jesse Chavez
608337,15474,Lucas Giolito
519455,4505,Jordan Zimmermann
665871,21741,Javier Assad
628333,16017,Odrisamer Despaigne
624427,15492,Stephen Gonsalves
680694,24586,Kyle Bradish
605513,16207,Spencer Turnbull
456034,3184,David Price
592169,17237,Austin Brice
627500,15524,Jen-Ho Tseng
543507,6398,Trevor May
595918,11467,A. J. Cole
663362,25550,Matt Waldron
593958,13164,Eduardo Rodriguez
621051,20353,Steven Wilson
592351,14916,Jon Gray
592135,13360,Cam Bedrosian
451532,5842,Chad Billingsley
605280,13649,Clay Holmes
456501,6893,Johnny Cueto
489265,9817,Sergio Romo
475115,7872,Tyson Ross
656271,17968,Brock Burke
642545,18356,Jaime Barria
680735,24604,Austin Cox
596043,16980,Daniel Mengden
685410,25777,Peyton Battenfield
669467,26108,Andre Pallante
689266,29928,Dylan Dodd
596295,16561,Austin Gomber
547888,15764,Masahiro Tanaka
669302,22250,Logan Gilbert
430599,4849,Joe Blanton
669194,26253,Ryne Nelson
663765,18674,Jake Woodford
594943,11294,Zach Neal
680739,24606,Josh Winder
607259,12730,Nick Martinez
477132,2036,Clayton Kershaw
612434,15684,Miguel Castro
670036,19330,Matt Festa
545363,10185,Jacob Turner
444468,2391,Héctor Rondón
452657,4930,Jon Lester
571510,15440,Matt Boyd
542923,11471,Dallas Beeler
503444,12825,Joel De La Cruz
523989,3862,Rubby De La Rosa
671790,20041,Ronald Bolaños
643617,15285,Zac Reininger
543548,7608,Tommy Milone
625643,16400,Reynaldo López
543022,4338,Tyler Chatwood
624647,16408,Victor González
474284,2413,Cory Rasmus
650911,20778,Cristopher Sánchez
663878,20160,Nate Pearson
598271,14272,Brian Johnson
643478,17035,Joe Palumbo
594867,11769,Myles Jaye
453329,3543,Clay Buchholz
453344,9346,Brandon Morrow
658792,16904,Aaron Wilkerson
543380,13119,Taylor Jungmann
681911,25007,Alex Vesia
467100,1994,Iván Nova
543272,9111,Brad Hand
504379,7731,Juan Nicasio
544931,10131,Stephen Strasburg
502211,11137,Mike Bolsinger
546276,10337,Edwin Escobar
460059,5203,Mike Pelfrey
605507,16094,Zach Thompson
450308,4235,Jered Weaver
656288,19867,Griffin Canning
543542,12833,Alex Meyer
425626,1701,Chris Capuano
112526,375,Bartolo Colon
459987,3357,Cesár Ramos
506693,5669,Henderson Alvarez
661269,19278,Vladimir Gutiérrez
433584,3273,Roberto Hernandez
605288,12718,Adrian Houser
596064,13143,Henry Owens
667297,19178,Tommy Nance
594736,12799,Cody Anderson
622250,18323,Josh Sborz
606996,19646,Kyle Hart
607320,13688,Ryan Merritt
607625,12447,Seth Lugo
543607,10174,Edgar Olmos
449173,7541,Lucas Harrell
641726,19345,Daulton Jefferies
681867,24975,Cooper Criswell
547179,14843,Michael Lorenzen
695243,31757,Mason Miller
471911,6632,Carlos Carrasco
665152,19350,Dean Kremer
621237,17780,José Alvarado
543883,7555,Nick Vincent
681217,30074,Chase Silseth
623381,17281,Thomas Pannone
641154,17085,Pablo López
621097,18318,Jacob Waguespack
641793,15823,Zack Littell
501957,5279,Chris Tillman
642571,17313,Merandy Gonzalez
663465,18694,Kolby Allard
670950,19309,Trevor Richards
669373,22267,Tarik Skubal
656713,20186,Brendan McKay
543101,13050,Anthony DeSclafani
686753,26260,Drey Jameson
675911,27498,Spencer Strider
547001,18769,Cody Poteet
605538,12804,Matt Wisler
607188,13699,Jake Faria
621052,15015,Alex Reyes
543054,10304,Jarred Cosart
579328,20633,Yusei Kikuchi
572971,9434,Dallas Keuchel
643615,19269,T. J. Zeuch
624522,19795,Keegan Thompson
608652,15101,Luke Farrell
434378,8700,Justin Verlander
686610,27681,Ken Waldichuk
681190,24719,Randy Vásquez
664350,19680,Sixto Sánchez
430935,4972,Cole Hamels
627894,15166,Luiz Gohara
425532,1137,Jerome Williams
572703,14288,Luke Bard
543045,14457,Adam Conley
657140,19665,Kyle Wright
676775,23499,Keaton Winn
664285,17295,Framber Valdez
571616,14844,Matt Dermody
554431,10058,Tyler Matzek
621261,13677,Corey Oswalt
457918,7410,J. A. Happ
605182,12808,Mike Clevinger
433579,6329,John Danks
519144,2717,Rick Porcello
445590,8011,Eric Stults
543334,9121,T. J. House
663738,21537,Daniel Lynch
519043,1890,Matt Moore
660271,19755,Shohei Ohtani
676130,23313,José Butto
592254,15463,José De León
489119,8779,Wade Miley
607968,12499,Drew Rucinski
150116,976,Randy Wolf
672578,22713,Carlos Hernández
621112,14739,Paul Blackburn
518863,10466,Taylor Jordan
571479,10657,Andrew Bellatti
571476,13418,Chris Beck
607391,14151,Chris Mazza
518418,5362,Phillippe Aumont
664196,18029,Tanner Anderson
641778,19316,Eric Lauer
664714,19942,Ljay Newsome
669330,20000,Tyler Wells
693433,30279,Bryan Woo
640444,19800,Wil Crowe
593334,17149,Domingo Germán
464416,6955,Yohan Pino
676272,27483,Bobby Miller
502624,6895,Chase Anderson
543766,8110,Bryan Shaw
605240,16159,Jace Fry
656793,20153,Nick Nelson
622097,14371,Jake Thompson
605254,16164,Daniel Gossett
607455,14706,Anthony Banda
664062,19388,Tony Gonsolin
622694,16933,Elieser Hernández
663623,21504,Jake Irvin
592644,15846,Adam Plutko
552640,12828,Andrew Kittredge
605151,12918,Archie Bradley
279824,225,Mark Buehrle
542888,12857,Shawn Armstrong
608718,13942,Brent Suter
681806,24933,Andrew Wantz
594772,10962,Jake Buchanan
621962,13881,Ian Thomas
656234,21267,Jake Bird
592779,16727,Brock Stewart
663474,18000,Triston McKenzie
490063,3340,Matt Garza
660261,31839,Shintaro Fujinami
676254,20423,Ryan Walker
669674,25379,Sam Long
595939,16125,Chris Ellis
656686,19884,Corbin Martin
474699,6435,Vance Worley
607229,13696,Robert Gsellman
622608,15488,Antonio Senzatela
543901,10160,Ryan Weber
676596,20418,Josh Fleming
668834,22176,Easton McGee
554340,12095,Yimi García
451788,6204,Shaun Marcum
605463,13652,Tayler Scott
595032,10982,Chase Whitley
543532,9149,Tim Melville
606167,13188,Adalberto Mejía
488768,8782,Andrew Cashner
656970,19487,Devin Smeltzer
679525,27451,Alec Marsh
502032,9492,Bud Norris
673540,31838,Kodai Senga
657006,17312,Justin Steele
592433,11378,Tyrell Jenkins
665759,20368,Ramón Rosso
669203,19361,Corbin Burnes
641541,19546,Jon Duplantier
456387,6336,Ryan Feierabend
461833,7450,Phil Hughes
543278,6499,Blaine Hardy
642100,17170,Gabe Speier
650668,20739,Humberto Mejía
689225,26079,Beau Brieske
521230,3548,Liam Hendriks
518585,7048,Fernando Cruz
642558,17030,Ariel Jurado
475479,6316,David Phelps
544150,6175,Albert Suárez
500779,11423,José Quintana
543359,8073,Dan Jennings
642546,17464,Jonathan Hernández
694363,27472,Jared Shuster
592811,13533,Andrew Triggs
661309,21023,Adrián Martinez
605388,12580,Adam Morgan
641482,17874,Nestor Cortes
501985,10021,Mike Minor
656876,25385,Drew Rasmussen
666214,19962,Joey Wentz
444857,6283,Scott Feldman
664161,19705,Matt Swarmer
670912,22487,Johan Oviedo
656222,17192,Jalen Beeks
624418,16377,Ryan Castellani
543557,4869,Mike Montgomery
681869,24977,Shawn Dubin
657566,16768,Montana DuRapau
676050,23292,Packy Naughton
518633,3542,Danny Duffy
656814,16942,Luis Ortiz
676710,20531,Kutter Crawford
686973,27691,Louie Varland
656546,17432,Jeff Hoffman
669358,22264,Shane Baz
624133,17277,Ranger Suárez
607231,13684,John Gant
641401,21205,Connor Brogdon
518566,11964,Taylor Cole
658431,19903,Adonis Medina
664123,18384,Scott Effross
605347,14527,Jorge López
657624,16794,Josh James
669145,20370,Bruce Zimmermann
656557,19879,Tanner Houck
429722,3200,Ervin Santana
502212,9559,Austin Bibens-Dirkx
594760,14934,Aaron Blair
572086,13393,Brady Rodgers
670046,20009,Kenny Rosenberg
503449,7738,Wily Peralta
592662,11486,Robbie Ray
594835,15467,Marco Gonzales
593969,13150,Jayson Aquino
660761,19911,José Suarez
657053,16929,Touki Toussaint
592716,13339,Adrian Sampson
640470,17859,Adbert Alzolay
669387,27572,Carmen Mlodzinski
282332,404,CC Sabathia
580792,13685,Nick Goody
656805,16468,Trevor Oaks
663752,25388,Cody Morris
622446,17018,Jefry Rodriguez
621056,15091,Hunter Wood
663423,17948,Trent Thornton
656547,16588,Jonathan Holder
669923,25436,George Kirby
607200,17425,Erick Fedde
613534,13801,Austin Adams
612672,13071,Wei-Yin Chen
657376,19899,Clarke Schmidt
519141,11426,Drew Pomeranz
592712,13483,Connor Sadzeck
453281,5221,Wade LeBlanc
656353,19871,Tucker Davidson
523260,9761,Joe Kelly
621121,14120,Lance McCullers
674072,26285,Tommy Henry
421685,1451,Aaron Harang
656232,19866,Brandon Bielak
527054,6797,Julio Teheran
519076,10547,Jimmy Nelson
675540,25595,Xzavion Curry
602928,14532,Felix Jorge
664353,18413,José Urquidy
694297,27782,Brandon Pfaadt
621057,19784,Justin Garza
542882,12022,Matt Andriese
605540,16162,Brandon Woodruff
664871,19285,Kyle Dowdy
572102,10039,Keyvius Sampson
676917,27473,Cade Cavalli
656412,19874,Alex Faedo
676684,19769,Will Vest
663559,20070,Bailey Falter
641771,14975,Chad Kuhl
429781,1767,Kevin Correia
501625,5358,Jose Alvarez
592547,11596,Deck McGuire
433587,4772,Félix Hernández
663455,21453,Konnor Pilkington
671737,22543,Taj Bradley
502042,6345,Chris Archer
682227,25463,Brandon Williamson
660730,20962,Elvin Rodriguez
682243,29837,Bryce Miller
543169,12027,Brian Flynn
605232,16208,Brandon Finnegan
605222,12756,Jake Esch
607074,16137,Carlos Rodón
502026,9490,Jeremy Jeffress
671096,29911,Andrew Abbott
592879,10836,Asher Wojciechowski
642083,15231,Aaron Slegers
595001,10946,Josh Smith
518452,10587,Chad Bettis
668676,19979,Zach Plesac
543193,12545,Drew Gagnon
628452,17130,Raisel Iglesias
452027,7853,Andrew Albers
671106,27589,Logan Allen
592717,11490,Aaron Sanchez
542881,12880,Tyler Anderson
607352,13194,Joe Biagini
642028,18510,Josh Rogers
606959,14962,Rookie Davis
543208,12778,Sam Gaviglio
450351,3580,C. J. Wilson
608638,13767,J. T. Chargois
605154,12777,John Brebbia
544928,11334,Tyler Lyons
663378,21065,Thomas Szapucki
660593,20526,Denyi Reyes
660853,18403,Enyel De Los Santos
592229,14825,Dylan Covey
663687,21520,Hogan Harris
606273,12673,Roenis Elías
630023,16401,Yonny Chirinos
571578,9323,Patrick Corbin
641329,19804,Bryan Baker
528748,21183,Humberto Castellanos
502188,3254,Jeff Samardzija
608723,15047,Austin Voth
517008,6661,Alex Colomé
670124,20132,Adam Oller
444520,4363,Craig Breslow
592593,11754,Justin Nicolino
506433,13074,Yu Darvish
642564,17303,Francis Martes
641743,20387,Anthony Kay
650644,19479,Aaron Civale
448855,5702,Junior Guerra
663978,20099,Chris Paddack
666745,25386,Jhony Brito
596112,13594,Robert Stephenson
519008,3237,T. J. McFarland
407793,1507,John Lackey
670056,19231,Caleb Baragar
621076,18331,James Kaprielian
571760,15423,Andrew Heaney
465679,5285,Sam Deduno
543475,7593,Jordan Lyles
592346,14663,Chi Chi González
664294,21101,Dauri Moreta
547874,13048,Hisashi Iwakuma
594986,11753,Kyle Ryan
605400,16149,Aaron Nola
672715,22815,Luis Patiño
502239,6249,Trevor Cahill
639373,19256,Gerson Bautista
623474,17556,Jimmy Herget
664869,18213,P. J. Conlon
453286,3137,Max Scherzer
425794,2233,Adam Wainwright
605228,11530,José Fernández
518790,10302,Chris Heston
434622,3374,Ubaldo Jiménez
668909,30122,Gavin Williams
693821,27779,Bryce Elder
668868,25918,Zack Thompson
691587,27768,Eury Pérez
543594,11341,Sean Nolin
544993,8402,Steve Geltz
491624,9013,César Valdez
570632,11589,José Ureña
664054,18088,Cody Stashak
457711,9137,Sean O'Sullivan
548357,10925,Christian Bergman
663753,21541,Reiss Knehr
543456,9178,Kyle Lobstein
608648,13758,Tyler Duffey
571946,10197,Shelby Miller
605194,13654,Jharel Cotton
592222,12890,Alex Claudio
606131,14682,Luis Perdomo
593140,11903,Michael Feliz
669214,19199,Conner Menez
621281,13796,Tyler Wagner
657756,19695,Connor Seabold
458676,7882,Josh Lindblom
593372,11682,Carlos Martinez
686839,26024,Brendan White
543921,6109,Joe Wieland
593679,12938,Gabriel Ynoa
543001,12699,Ryan Carpenter
572309,12118,Kendry Flores
346798,739,Kyle Lohse
621289,15066,Jaime Schultz
650530,19457,Bryan Garcia
596133,16918,Luke Weaver
678394,23920,Brayan Bello
534947,10968,Tim Adleman
516414,10240,Ariel Peña
534737,11350,Pat Dean
572998,11686,Josh Lucas
640463,15158,Braden Shipley
676534,20116,Calvin Faucher
605469,16166,Chandler Shepherd
502179,8246,Paolo Espino
592761,14875,Caleb Smith
608641,13762,Tim Cooney
584171,19341,Hector Velázquez
607192,14374,Tyler Glasnow
596271,11121,Casey Lawrence
596074,17987,Bobby Poyner
592170,11502,Parker Bridwell
518716,7396,Dillon Gee
642547,18679,Freddy Peralta
665621,20430,Rony García
670329,20023,Rico Garcia
663773,26304,Bryan Hoeing
462382,3656,Jim Johnson
669212,20203,Eli Morgan
475243,9884,Travis Wood
686752,26221,Ryan Pepiot
676879,23550,Aaron Ashby
476589,9029,Adam Warren
663567,17969,Peter Lambert
605483,13543,Blake Snell
657044,16647,Ryan Thompson
605541,12586,Mike Wright
669060,19990,Bryse Wilson
642770,17292,Javy Guerra
664141,17578,JT Brubaker
572788,10770,Tyler Cravy
434643,2586,Wandy Rodriguez
572140,10190,Tyler Skaggs
672282,27468,Reid Detmers
664126,17998,Pete Fairbanks
592314,10811,Mike Foltynewicz
572193,10291,Ryan Tepera
